,n,acc_off_mean,acc_off_std,acc_s1_mean,acc_s1_std,acc_mc_mean,acc_mc_std,nll_s1_mean,nll_s1_std,ece_s1_mean,ece_s1_std,ece_mc_mean,ece_mc_std,gen_gap_mean,gen_gap_std,grad_var_mean,grad_var_std,train_acc_mean,train_acc_std
Deterministic,3.0,0.750333309173584,0.009402846653396616,0.750333309173584,0.009402846653396616,0.750333309173584,0.009402846653396616,0.9404612978299459,0.2424575947369756,0.11188340435425441,0.04546395632767105,0.11188340435425441,0.04546395632767105,0.22530000000000003,0.01237457069962429,0.0,0.0,0.9756222222222223,0.0029976122184741626
Dropout,3.0,0.76883331934611,0.004392406120291109,0.7297999858856201,0.00527161894552448,0.7645333210627238,0.0039715707994121595,0.9615476926167806,0.14612076631722948,0.09868294497330983,0.030191526809042517,0.02415517469247182,0.013291911258407065,0.18453333333333335,0.011874482444861898,2.9621369416569604e-07,7.735295424656884e-08,0.9143407407407408,0.007432339522781071
Gaussian noise,3.0,0.7470666567484537,0.007625174631353506,0.7455666462580363,0.007530179479578424,0.747166633605957,0.006969468250084865,0.9386130372683207,0.10410196275609145,0.12395712484916051,0.020778648339267226,0.11958363652229309,0.020266952638421227,0.22876666666666667,0.010038094108611128,6.92593641697196e-09,1.4090042505215404e-09,0.9743259259259259,0.0029436127406773506
Gaussian reparam (VAE),3.0,0.7551999886830648,0.002685142599200591,0.7547666430473328,0.001892989684510245,0.7552666465441386,0.0024846190314486492,0.7844376762708029,0.058714207938164356,0.07410065208872159,0.027140518622825766,0.0732937144736449,0.026832212126537164,0.2084,0.005802585630561603,9.937113909508355e-10,3.6748864602899686e-10,0.9631555555555554,0.00589366682481927
Bernoulli ST,3.0,0.7682666381200155,0.006403393705441933,0.738433321317037,0.012355682660807261,0.7649666468302408,0.005971866932537672,0.8329197565714518,0.0028280369063939715,0.06805288543303807,0.01954014288255787,0.021329314758380253,0.0038825865589626955,0.14576666666666668,0.007922331306713526,3.399750999240799e-08,1.0553233015251674e-08,0.8841777777777778,0.01726123180589349
Gumbel-Softmax (soft),3.0,0.09999999403953552,0.0,0.09999999403953552,0.0,0.09999999403953552,0.0,2.31597105662028,0.008310489070322662,0.03044290840625763,0.009981234686774206,0.03044290840625763,0.009981234686774206,-6.666666666666668e-05,0.0005859465277082316,0.0,0.0,0.09993333333333333,0.0005669933698743619
Gumbel ST (hard 1-hot),3.0,0.25553332765897113,0.13484777810895127,0.25333333015441895,0.13305598110898312,0.257399986187617,0.13645789891245583,1.8949356476465862,0.3673625844568872,0.03806984176238378,0.00951116878898718,0.03130081916848818,0.005412620009932662,0.0004666666666666667,0.0038083242158898885,5.173629915589117e-07,4.714708266929261e-07,0.25381481481481477,0.13353928784884603
