,n,acc_off_mean,acc_off_std,acc_s1_mean,acc_s1_std,acc_mc_mean,acc_mc_std,nll_s1_mean,nll_s1_std,ece_s1_mean,ece_s1_std,ece_mc_mean,ece_mc_std,gen_gap_mean,gen_gap_std,grad_var_mean,grad_var_std,train_acc_mean,train_acc_std
Deterministic,3.0,0.9776332974433899,0.0008144647388950987,0.9776332974433899,0.0008144647388950987,0.9776332974433899,0.0008144647388950987,0.08747849365075429,0.010976184666908004,0.011777427978813648,0.0015919014153886212,0.011777427978813648,0.0015919014153886212,0.017233333333333337,0.0003214550253664319,0.0,0.0,0.9948827160493828,0.0010180694857540508
Dropout,3.0,0.9799333214759827,0.00046188803393025144,0.9654666384061178,0.0022479382246243292,0.9781000018119812,0.0006999969482421875,0.12247567375500996,0.0024180543731625558,0.01148631734152635,0.0007474299969508918,0.014585335118075212,0.0007404408063073337,0.011833333333333333,0.002193931022920578,9.262761674714662e-07,6.999107729925728e-08,0.9772962962962962,0.001240740740740709
Gaussian noise,3.0,0.9804666439692179,0.0011930184858870221,0.9799999594688416,0.000888809339762134,0.9803666472434998,0.0008962655777268687,0.091260626912117,0.0030314158480326137,0.012263998699684938,0.0014579337663104394,0.01056916577120622,0.001984429982504506,0.015166666666666669,0.0006027713773341715,5.344927285951447e-08,3.132348220792039e-08,0.9951666666666666,0.0002939723678960612
Gaussian reparam (VAE),3.0,0.9774666428565979,0.001415401856232536,0.9772999882698059,0.0015716243688215653,0.9774999618530273,0.0014730774717903908,0.08944042026996613,0.0027513253716787535,0.009762935961286226,0.0028226429352374975,0.009825623283783594,0.0023033440124664165,0.0111,0.0020420577856662143,1.4937539957552797e-06,2.581725106750496e-06,0.9884012345679012,0.0023175785969993443
Bernoulli ST,3.0,0.9671666423479716,0.0006658403529682285,0.9498999714851379,0.0024515199676453966,0.9662999908129374,0.0008717877089728572,0.1655145933230718,0.004894499060516785,0.006983804361273845,0.0017340334085667532,0.024005158493916195,0.00037908561062677243,0.010933333333333335,0.0029535289626704746,8.007460650105713e-08,1.1740487858988398e-08,0.9608395061728396,0.00048726347831766796
Gumbel-Softmax (soft),3.0,0.9206999739011129,0.01630092630563743,0.8994666337966919,0.02524010566736855,0.9190999865531921,0.017313877463514125,0.38641290863355,0.07091239623954262,0.01937714032828808,0.013852719673629575,0.04552274942398071,0.020226788312227236,0.0006333333333333333,0.005231953108862247,7.09268101672933e-06,4.232390970728521e-06,0.900111111111111,0.02827430913262598
Gumbel ST (hard 1-hot),3.0,0.8847666581471761,0.0443574362583457,0.8734666307767233,0.04042182804879229,0.8859333197275797,0.044174002756289146,0.5107896824677786,0.030053232132487482,0.015011322684586048,0.002775573962552207,0.05173438166578611,0.006063609856673387,-0.021433333333333332,0.025444907807522774,1.4896452739776578e-05,4.292139789104304e-06,0.8520308641975308,0.044646183088595935
